from,to,distance
02t,bkp85t,3.3433583248029883
02t,19t,35.29891310024579
02t,o63,14.35685087981251
02t,bkp90t,16.464199009557436
02t,bkp88t,4.163407345332426
02t,bkp86t,8.790578802770087
02t,bkp94t,10.450749685724144
02t,bkp84t,1.8495009467431704
02t,bkp83t,0.8832911545393178
02t,bkp63t,7.198894131631712
03t,02t,13.238260735847284
03t,03t,0.0
03t,11t,23.028538195596784
03t,12t,16.512291166148593
03t,50t,16.934222716468206
03t,52t,12.577223839888932
03t,53t,26.11949628485885
03t,54t,20.66454876276565
03t,59t,20.694523961800936
03t,61t,26.18739545321559
03t,bkp100t,32.26784034895979
03t,bkp101t,39.95930303053712
03t,bkp102t,8.953200348967247
03t,bkp103t,19.73475288768937
03t,bkp104t,5.949945366618739
03t,bkp105t,3.443188305765615
03t,bkp112t,11.500627366141714
03t,bkp114t,17.3565106943339
03t,bkp116t,24.172523620284434
03t,bkp117t,27.981572646858975
03t,bkp118t,37.34543440730151
03t,bkp119t,19.626039975091206
03t,bkp121t,8.909270283562293
03t,bkp120t,36.15459359599077
03t,bkp122t,18.75906906635705
03t,bkp123t,23.83073710396808
03t,bkp124t,15.702239346851584
03t,bkp126t,5.5407407170601335
03t,bkp125t,32.81148334654422
03t,bkp128t,41.08893989577768
03t,bkp127t,12.857912877145024
03t,bkp129t,53.952857506171576
03t,bkp130t,34.69266482587907
03t,bkp131t,12.65050806118218
03t,bkp133t,16.836493482346132
03t,bkp56t,20.99027971524296
03t,bkp57t,21.833901400702814
03t,bkp58t,11.281259151060661
03t,bkp59t,18.686373146438797
03t,bkp60t,19.168067302406154
03t,bkp62t,15.342967761806413
03t,bkp61t,17.07307097226925
03t,bkp64t,25.14672497550084
03t,bkp66t,16.778432356336495
03t,bkp67t,14.562658810895812
03t,bkp69t,15.344853197536139
03t,bkp70t,21.481144044308373
03t,bkp65t,16.355371153243066
03t,bkp71t,27.885139515807918
03t,bkp72t,24.592402818834035
03t,bkp74t,35.82553713842398
03t,bkp73t,28.837537381974936
03t,bkp80t,54.353331335532694
03t,bkp79t,43.90831367239088
03t,bkp81t,26.430868674271714
03t,bkp78t,41.41575143785144
03t,bkp77t,34.85192246368278
03t,bkp82t,10.732014407859022
03t,bkp76t,29.120478404435683
03t,bkp75t,39.0288377882714
03t,o26,31.165333497969847
03t,14t,11.716596365458148
03t,18t,20.815060456912
03t,17t,13.119582618278839
03t,08t,14.665692012148869
03t,22t,32.908423284842435
03t,13t,26.660780711051004
03t,20t,49.40718385514194
03t,81t,43.58850107638686
03t,o10,29.482892902262172
03t,bkp98t,32.62844901429039
03t,bkp97t,32.80262456203144
03t,bkp99t,32.97597934504821
03t,bkp95t,23.125354806002072
03t,bkp93t,23.63169397414663
03t,27t,18.758859756874422
03t,16t,16.498776902683716
03t,bkp96t,27.874794777376124
03t,bkp92t,16.66455086818537
03t,bkp91t,9.439793180065735
03t,bkp89t,9.336296005873912
03t,bkp87t,12.943255827882606
03t,bkp85t,14.989132035803793
03t,19t,39.45312661812093
03t,o63,21.342379515037308
03t,bkp90t,4.05252143340122
03t,bkp88t,9.944779118313347
03t,bkp86t,15.528078143948603
03t,bkp94t,20.179815912732156
03t,bkp84t,11.845575237989424
03t,bkp83t,14.006275492862105
03t,bkp63t,20.435415709888893
11t,02t,10.133110118413628
11t,03t,23.028538195596784
11t,11t,0.0
11t,12t,8.149972138877466
11t,50t,6.254479334718051
11t,52t,10.748357957820167
11t,53t,3.093333549253864
11t,54t,2.376258067651942
11t,59t,3.712293485243814
11t,61t,4.700163459304915
11t,bkp100t,10.559969142351658
11t,bkp101t,17.00575922654933
11t,bkp102t,14.538817157197585
11t,bkp103t,7.511580829412054
11t,bkp104t,19.74677086311765
